current_day_price_avg,current_day_price_min,current_day_price_max,previous_day_close,_52_wk_high_avg,_52_wk_low_avg,rec_count
0.003,0.003,0.003,0.003,0.0054,0.0029,1
0.003,0.003,0.003,0.003,0.0054,0.003,1
5.15,5.15,5.15,5.1,7.81,3.87,1
7.52,7.52,7.52,7.52,8.5,5.1,1
0.76,0.76,0.76,0.85,0.97,0.305,1
0.85,0.85,0.85,0.85,1.27,0.39,1
0.65,0.65,0.65,0.67,1.1,0.58,1
2.57,2.57,2.57,2.51,3.62,2.41,1
0.2,0.2,0.2,0.2,0.275,0.172,1
6.01,6.01,6.01,6.0,8.99,6.0,1
73.3,73.3,73.3,75.0,82.6,50.5,1
0.12,0.12,0.12,0.12,0.244,0.084,1
2.06,2.06,2.06,2.09,2.36,1.72,1
464.6,464.6,464.6,479.0,503.5,345.0,1
1997.0,1997.0,1997.0,1780.0,2086.0,1001.0,1
1.69,1.69,1.69,1.69,2.41,1.39,1
0.089,0.089,0.089,0.089,0.136,0.076,1
0.176,0.176,0.176,0.17,0.215,0.111,1
1.27,1.27,1.27,1.27,2.17,0.97,1
1.0,1.0,1.0,1.0,1.45,0.67,1
0.57,0.57,0.57,0.58,1.09,0.56,1
0.81,0.81,0.81,0.86,1.56,0.425,1
1.19,1.19,1.19,1.2,1.52,1.15,1
5.34,5.34,5.34,5.4,6.54,4.0,1
25.7,25.7,25.7,26.05,30.2,17.56,1
2.42,2.42,2.42,2.45,3.44,2.3,1
100.7,100.7,100.7,100.7,102.1,99.5,1
0.435,0.435,0.435,0.435,1.22,0.34,1
3.0,3.0,3.0,3.1,5.48,2.92,1
0.59,0.59,0.59,0.6,1.3,0.57,1
0.66,0.66,0.66,0.7,0.92,0.335,1
0.14,0.14,0.14,0.14,0.275,0.112,1
0.0068,0.0068,0.0068,0.0068,0.0097,0.0068,1
0.0067,0.0067,0.0067,0.0068,0.0092,0.0067,1
0.43,0.43,0.43,0.43,0.69,0.4,1
0.0083,0.0083,0.0083,0.0078,0.0098,0.0063,1
1.38,1.38,1.38,1.59,1.62,0.7,1
4.75,4.75,4.75,4.75,6.25,4.3,1
1.65,1.65,1.65,1.47,2.09,1.02,1
9.4,9.4,9.4,9.4,9.89,7.53,1
15.9,15.9,15.9,15.9,17.88,14.04,1
2.38,2.38,2.38,2.37,3.55,2.33,1
3.5,3.5,3.5,3.5,5.0,3.45,1
30.2,30.2,30.2,30.6,34.45,22.55,1
0.179,0.179,0.179,0.177,0.234,0.16,1
0.27,0.27,0.27,0.27,0.4,0.25,1
18.4,18.4,18.4,18.48,37.78,17.2,1
0.63,0.63,0.63,0.59,1.09,0.45,1
8.02,8.02,8.02,8.19,10.72,8.02,1
5.44,5.44,5.44,5.44,6.2,3.56,1
26.2,26.2,26.2,26.0,28.9,18.24,1
4.17,4.17,4.17,4.17,7.9,3.42,1
100.4,100.4,100.4,100.4,102.5,96.2,1
24.95,24.95,24.95,24.95,43.2,20.0,1
177.9,177.9,177.9,177.9,460.0,150.0,1
100.0,100.0,100.0,100.0,100.0,100.0,1
7.3,7.3,7.3,7.3,14.48,5.1,1
10.5,10.5,10.5,10.8,11.88,5.1,1
5.0,5.0,5.0,5.0,7.5,3.5,1
1000.0,1000.0,1000.0,1000.0,1028.0,900.0,1
1027.0,1027.0,1027.0,1027.0,1115.0,1000.0,1
1002.0,1002.0,1002.0,1002.0,1020.0,960.0,1
1000.0,1000.0,1000.0,1028.0,1030.0,950.0,1
1.9,1.9,1.9,1.66,4.58,1.62,1
1.49,1.49,1.49,1.49,2.87,1.31,1
58.1,58.1,58.1,58.2,61.7,51.5,1
164.0,164.0,164.0,164.1,204.0,163.1,1
95.0,95.0,95.0,95.0,120.0,85.0,1
2.76,2.76,2.76,2.82,3.51,2.51,1
2.97,2.97,2.97,3.0,6.2,2.66,1
24.0,24.0,24.0,24.0,27.85,20.65,1
2.8,2.8,2.8,2.82,4.58,0.415,1
3.8,3.8,3.8,3.8,3.84,2.54,1
3.82,3.82,3.82,3.8,4.05,2.88,1
12.98,12.98,12.98,13.24,17.1,12.9,1
0.129,0.129,0.129,0.129,0.18,0.12,1
1.48,1.48,1.48,1.51,1.65,1.33,1
1.45,1.45,1.45,1.45,1.45,0.5,1
35.0,35.0,35.0,35.8,41.6,34.6,1
3.53,3.53,3.53,3.53,4.85,3.2,1
32.85,32.85,32.85,33.0,35.6,28.1,1
85.95,85.95,85.95,87.5,99.3,60.0,1
69.5,69.5,69.5,69.75,80.0,37.0,1
0.055,0.055,0.055,0.056,0.087,0.049,1
1.74,1.74,1.74,1.74,1.8,1.68,1
1.03,1.03,1.03,1.03,1.09,0.77,1
9.95,9.95,9.95,9.85,10.84,6.25,1
7.68,7.68,7.68,7.66,11.86,7.21,1
3.88,3.88,3.88,3.9,4.2,3.42,1
3400.0,3400.0,3400.0,3400.0,3750.0,2500.0,1
2.89,2.89,2.89,2.89,3.5,2.44,1
877.0,877.0,877.0,891.0,1010.0,806.0,1
87.4,87.4,87.4,87.5,124.7,84.35,1
74.0,74.0,74.0,74.0,76.9,74.0,1
76.05,76.05,76.05,76.05,77.5,73.15,1
76.35,76.35,76.35,76.35,80.9,75.9,1
75.3,75.3,75.3,75.3,76.15,73.0,1
76.55,76.55,76.55,76.55,78.0,75.2,1
73.2,73.2,73.2,73.2,74.0,71.5,1
76.7,76.7,76.7,76.7,77.85,73.0,1
75.0,75.0,75.0,75.0,77.4,73.8,1
70.7,70.7,70.7,73.0,73.8,69.5,1
75.5,75.5,75.5,75.5,80.0,73.0,1
24.9,24.9,24.9,25.1,35.4,24.25,1
0.2,0.2,0.2,0.2,0.41,0.2,1
9.0,9.0,9.0,9.02,9.75,6.75,1
1.9,1.9,1.9,1.9,2.0,1.02,1
0.8,0.8,0.8,0.8,0.8,0.8,1
3.01,3.01,3.01,3.01,4.49,2.16,1
1.29,1.29,1.29,1.29,1.38,0.455,1
1.64,1.64,1.64,1.52,2.41,1.44,1
0.85,0.85,0.85,0.86,1.03,0.73,1
0.305,0.305,0.305,0.305,0.5,0.305,1
0.138,0.138,0.138,0.135,0.16,0.121,1
1.28,1.28,1.28,1.27,1.97,1.24,1
1270.0,1270.0,1270.0,1273.0,1624.0,1245.0,1
35.0,35.0,35.0,45.0,49.0,20.15,1
62.2,62.2,62.2,62.1,103.9,60.0,1
0.64,0.64,0.64,0.65,0.89,0.55,1
35.25,35.25,35.25,35.85,49.29,32.45,1
0.0031,0.0031,0.0031,0.0031,0.0047,0.0028,1
75.9,75.9,75.9,76.5,124.4,74.2,1
0.69,0.69,0.69,0.79,0.96,0.68,1
0.55,0.55,0.55,0.55,0.8,0.42,1
1.49,1.49,1.49,1.48,1.85,1.41,1
2.05,2.05,2.05,2.03,2.27,1.05,1
19.0,19.0,19.0,19.0,20.0,11.28,1
1.38,1.38,1.38,1.38,2.25,1.37,1
0.212,0.212,0.212,0.212,0.29,0.202,1
12.98,12.98,12.98,13.0,24.8,12.8,1
0.375,0.375,0.375,0.375,0.45,0.35,1
0.159,0.159,0.159,0.16,0.305,0.152,1
0.072,0.072,0.072,0.072,0.119,0.062,1
