122,EURO,"Euro-Med Laboratories Phil., Inc.",0.83,0.83,1.01,0.7,9.222,0.04 (4.82%),2024-12-19 23:04:15
123,EVER,"Ever Gotesco Resources and Hold'gs, Inc.",0.248,0.247,0.315,0.23,5.905,,2024-12-19 23:04:15
124,EW,East West Banking Corporation,9.7,9.8,10.42,8.0,3.502,0.41 (4.23%),2024-12-19 23:04:15
125,FAF,First Abacus Financial Holdings Corp.,0.62,0.68,0.72,0.58,206.667,,2024-12-19 23:04:15
126,FB,"San Miguel Food and Beverage, Inc.",51.0,51.8,57.3,43.0,,2.70 (5.29%),2024-12-19 23:04:15
127,FBP,San Miguel Food and Beverage Pref,1011.0,1011.0,1060.0,997.0,,,2024-12-19 23:04:15
128,FBP2,San Miguel Food and Beverage Perp Pref 2,1005.0,1005.0,1030.0,929.5,,,2024-12-19 23:04:15
129,FCG,,0.86,0.85,0.94,0.59,,,2024-12-19 23:04:15
130,FDC,Filinvest Development Corporation,4.95,4.9,6.0,4.9,3.587,0.07 (1.41%),2024-12-19 23:04:15
131,FERRO,"Ferronoux Holdings, Inc.",5.35,5.35,5.35,1.26,,,2024-12-19 23:04:15
132,FEU,"Far Eastern University, Inc.",720.0,720.0,800.0,550.0,40.044,30.00 (4.17%),2024-12-19 23:04:15
133,FFI,"Filipino Fund, Inc.",6.42,6.42,8.03,3.6,833.766,,2024-12-19 23:04:15
134,FGEN,First Gen Corporation,16.16,16.22,20.5,16.04,4.00,0.90 (5.57%),2024-12-19 23:04:15
135,FGENG,First Gen Corporation - Series G Pref.,100.4,100.4,111.6,99.5,,,2024-12-19 23:04:15
136,FILRT,,2.84,2.87,3.29,2.55,,,2024-12-19 23:04:15
137,FJP,F and J Prince Holdings Corp. ''A'',1.7,1.7,2.62,1.61,21.25,0.24 (14.12%),2024-12-19 23:04:15
138,FJPB,F and J Prince Holdings Corp. ''B'',1.76,1.76,2.98,1.58,,,2024-12-19 23:04:15
139,FLI,"Filinvest Land, Inc.",0.67,0.67,0.88,0.54,2.577,0.04 (5.97%),2024-12-19 23:04:15
140,FMETF,First Metro Philippine Equity ETF,103.4,104.5,121.5,99.0,,,2024-12-19 23:04:15
141,FNI,"Global Ferronickel Holdings, Inc.",1.05,1.1,2.2,1.0,,0.10 (9.52%),2024-12-19 23:04:15
142,FOOD,"Alliance Select Foods Int'l, Inc.",0.37,0.37,0.51,0.37,7.101,,2024-12-19 23:04:15
